ID,Area,Feature,Ruolo,User Story,Comportamento atteso (da codice),Riferimenti file,Stato test,Note/Bug
AUTH-01,Autenticazione,Registrazione utente,Visitatore,Come visitatore voglio registrarmi con email/password/ruolo cosi che possa richiedere accesso alla dashboard,"POST /api/auth/register crea utente con status='pending', ruolo USER o USERPLUS (mai ADMIN). Password hashata (scrypt). Risposta 201 con messaggio di attesa approvazione. Nessuna sessione creata.",app/register/page.tsx; app/api/auth/register/route.ts; lib/users.ts,Pass,"VERIFICATO via API (curl): registrazione valida -> 201, status pending, nessuna sessione creata."
AUTH-02,Autenticazione,Validazione registrazione,Visitatore,Come visitatore mi aspetto messaggi di errore chiari se compilo il form in modo errato,400 'Email e password sono obbligatorie' se mancanti; 400 'Email non valida' se formato errato; 400 'La password deve avere almeno 6 caratteri' se troppo corta; 409 'Email gia registrata' se duplicata.,app/api/auth/register/route.ts:18-42,Pass,"VERIFICATO via API: 400 su campi mancanti/email invalida/password corta, 409 su email duplicata — messaggi esatti confermati."
AUTH-03,Autenticazione,Login utente approvato,Qualsiasi ruolo,Come utente approvato voglio accedere con email/password cosi che entri in dashboard,"POST /api/auth/login: 200 + cookie aria_session (httpOnly, sameSite=lax, secure in prod, 7 giorni) + redirect a /dashboard o ?next=.",app/api/auth/login/route.ts; app/login/page.tsx,Pass,VERIFICATO via API: login admin valido -> 200 + cookie di sessione.
AUTH-04,Autenticazione,Login credenziali errate/pending/rejected,Qualsiasi ruolo,Come utente voglio un messaggio chiaro se le credenziali sono sbagliate o il mio account non e ancora approvato,"401 'Credenziali non valide' (email o password errate, messaggio generico); 403 'Account in attesa di approvazione dell'amministratore' se pending; 403 'Accesso negato dall'amministratore' se rejected.",app/api/auth/login/route.ts:27-42,Pass,"VERIFICATO via API: 401 credenziali errate, 403 pending, redirect/401 coerenti."
AUTH-05,Autenticazione,Logout,Qualsiasi ruolo,Come utente voglio uscire dalla sessione cosi che il dispositivo non resti collegato,"POST /api/auth/logout azzera il cookie (maxAge=0), risposta 200, redirect client a /login.",components/LogoutButton.tsx; app/api/auth/logout/route.ts,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
AUTH-06,Autenticazione,Scadenza sessione,Qualsiasi ruolo,Come utente collegato da tempo voglio essere reindirizzato al login quando la sessione scade (7 giorni),"Middleware verifica firma HMAC e exp del token ad ogni richiesta; su token invalido/scaduto: redirect /login?next=... per pagine, 401 JSON per /api/*.",middleware.ts; lib/auth/session.ts,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
AUTH-07,Autenticazione,Redirect non autenticato,Visitatore,Come visitatore senza sessione voglio essere reindirizzato al login se provo ad aprire una pagina protetta,"Middleware consente solo /login,/register,/api/auth/*; ogni altra pagina reindirizza a /login?next=<path originale>; le API rispondono 401 { ok:false, error:'Non autenticato' }.",middleware.ts,Pass,VERIFICATO via curl: pagina protetta -> 307 verso /login?next=; API protetta -> 401 JSON.
AUTH-08,Autenticazione,Account ADMIN seed,ADMIN,Come amministratore di sistema mi aspetto che l'account ADMIN iniziale esista sempre e sia protetto,"Al primo avvio viene creato un utente ADMIN da ADMIN_EMAIL/ADMIN_PASSWORD (default admin@dashboard.local/admin), status approved. Non puo essere eliminato, rifiutato o retrocesso di ruolo (protezione case-insensitive sull'email).","lib/users.ts:21-128,233,241,249-251",Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
AUTH-09,Autenticazione,Ruolo aggiornato senza re-login,Qualsiasi ruolo,"Come utente il cui ruolo viene cambiato da un admin, mi aspetto che il nuovo permesso si applichi alla richiesta successiva senza dover rifare login","Il cookie di sessione contiene solo { uid, exp }; ruolo/status vengono riletti dal DB/memoria ad ogni richiesta via getSessionUser().",lib/auth/index.ts:9-16,Pass,Verificato: comportamento conforme al codice (audit incrociato di 3 letture indipendenti + smoke test mirati dove applicabile).
ADMU-01,Gestione utenti,Accesso pagina /admin/users,ADMIN,Come admin voglio vedere l'elenco di tutti gli utenti registrati cosi che gestisca le richieste di accesso,"Pagina server-side richiede sessione valida + isAdmin(); in caso contrario redirect a /login o /dashboard. Tabella con nome/email/ruolo/stato/azioni, badge 'tu' sull'admin loggato.",app/admin/users/page.tsx; components/UsersAdmin.tsx,Pass,VERIFICATO via API: GET /api/admin/users con sessione ADMIN restituisce l'elenco utenti.
